"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","de"
"325","DVL1","CHM13_G0000063","CHM13_T0000283","transcript","325",2.14355268416137,0.0345084074851318,0.694876725283834,1.10000387609787
"335","MXRA8","CHM13_G0000065","CHM13_T0000293","transcript","335",0.287143584231345,0.0425814754710124,0.715840374286303,-1.80015576753928
"469","MMP23B","CHM13_G0000090","CHM13_T0000427","transcript","469",0.454523589017726,0.035273054936557,0.694876725283834,-1.13757292505372
"642","FAAP20","CHM13_G0000112","CHM13_T0000600","transcript","642",3.91363606036505,0.000511764374657941,0.19101542501202,1.9685096020764
"820","WRAP73","CHM13_G0000157","CHM13_T0000778","transcript","820",0.483637001700921,0.0186586846477846,0.666017849746923,-1.04800346955527
"1016","KCNAB2","CHM13_G0000195","CHM13_T0000974","transcript","1016",2.7550196168353,0.0351142947046115,0.694876725283834,1.46206259139543
"1204","THAP3","CHM13_G0000220","CHM13_T0001162","transcript","1204",2.61883744360727,0.0132432538322071,0.615273689684695,1.38892651154798
"1403","H6PD","CHM13_G0000284","CHM13_T0001361","transcript","1403",2.07180440251288,0.0164611922360727,0.646546523062185,1.05088780570554
"1794","MIIP","CHM13_G0000382","CHM13_T0001752","transcript","1794",2.29422117101769,0.00766174281716336,0.513535775056885,1.19800447895164
"1923","MSTRG.54","CHM13_G0000450","CHM13_T0001876","transcript","1923",2.0208359675721,0.0291193150305676,0.694876725283834,1.01495222207664
"1991","FHAD1","CHM13_G0000462","CHM13_T0001944","transcript","1991",0.494940371538007,0.0315520877196143,0.694876725283834,-1.0146733694289
"2051","PLEKHM2","CHM13_G0000482","CHM13_T0002004","transcript","2051",2.39365129268927,0.0388301607529137,0.694876725283834,1.25921299566054
"2661","ECE1","CHM13_G0000651","CHM13_T0002583","transcript","2661",2.52422267198986,0.0277562074021001,0.694876725283834,1.33583918195509
"2736","HSPG2","CHM13_G0000668","CHM13_T0002658","transcript","2736",0.044165517160751,4.08980015051963e-05,0.131410084561256,-4.50093578479454
"2943","LYPLA2","CHM13_G0000733","CHM13_T0002865","transcript","2943",2.21479903916203,0.0262181667332565,0.694876725283834,1.1471758011021
"2978","FUCA1","CHM13_G0000736","CHM13_T0002900","transcript","2978",2.83577469579732,0.0367895627221377,0.694876725283834,1.50374291404143
"3000","SRSF10","CHM13_G0000743","CHM13_T0002922","transcript","3000",0.310517259510785,0.0158023562037006,0.642172916277944,-1.68725463475533
"3532","MAP3K6","CHM13_G0000874","CHM13_T0003453","transcript","3532",0.397430943464153,0.00187092915813292,0.31082200126435,-1.33122389153895
"3549","WASF2","CHM13_G0000879","CHM13_T0003469","transcript","3549",0.351815396727882,0.0158835080698518,0.642688049003682,-1.50710947308688
"3619","THEMIS2","CHM13_G0000902","CHM13_T0003539","transcript","3619",2.44403446459672,0.00428846715359565,0.429514243697972,1.2892646294906
"3691","PHACTR4","CHM13_G0000921","CHM13_T0003611","transcript","3691",2.44545901814934,0.0484418485672741,0.738366125102804,1.29010528769426
"3963","SERINC2","CHM13_G0000992","CHM13_T0003883","transcript","3963",0.302574385766591,0.031817705849483,0.694876725283834,-1.72463823255284
"4001","PEF1","CHM13_G0001001","CHM13_T0003921","transcript","4001",0.216851688992561,0.00951166841769224,0.54063569056949,-2.20521941492498
"4075","SPOCD1","CHM13_G0001008","CHM13_T0003995","transcript","4075",2.02097534952435,0.0363797286340488,0.694876725283834,1.01505172481717
"4382","ZNF362","CHM13_G0001070","CHM13_T0004301","transcript","4382",0.32414555722053,0.00940101558874962,0.53933961857494,-1.6252862955916
"4405","MIR3605","CHM13_G0001075","CHM13_T0004324","transcript","4405",2.35779786269184,0.0188820045733646,0.669006267288717,1.23744003935571
"4507","SFPQ","CHM13_G0001107","CHM13_T0004425","transcript","4507",0.192013153256068,0.00216939458621257,0.328643134632694,-2.38072295327773
"4529","KIAA0319L","CHM13_G0001115","CHM13_T0004448","transcript","4529",0.381490518255552,0.0456480088505424,0.728927517566985,-1.39028089480184
"4640","EVA1B","CHM13_G0001141","CHM13_T0004559","transcript","4640",2.36551123854356,0.0422293713095296,0.713332973190502,1.24215201510979
"4893","MACF1","CHM13_G0001219","CHM13_T0004812","transcript","4893",0.313915023881989,0.00629176637977436,0.479849043657043,-1.67155401734881
"4895","MACF1","CHM13_G0001219","CHM13_T0004814","transcript","4895",3.41940447415297,0.0304746281702402,0.694876725283834,1.77374508622286
"4898","MACF1","CHM13_G0001219","CHM13_T0004817","transcript","4898",0.16584012718052,0.00395002980406645,0.412674166372205,-2.59213496694392
"5070","PPT1","CHM13_G0001253","CHM13_T0004990","transcript","5070",0.442959523754947,0.0184095207111039,0.666017849746923,-1.17475321900978
"5127","EXO5","CHM13_G0001271","CHM13_T0005046","transcript","5127",2.01683267839638,0.0447352675058549,0.728424302973333,1.0120913992405
"5504","ELOVL1","CHM13_G0001361","CHM13_T0005423","transcript","5504",2.40395846238569,0.0122915261123981,0.59743217916481,1.26541196816728
"5719","ATP6V0B","CHM13_G0001386","CHM13_T0005638","transcript","5719",2.39835247588163,0.0302577402426569,0.694876725283834,1.26204370121979
"5723","ATP6V0B","CHM13_G0001386","CHM13_T0005642","transcript","5723",3.39557201799691,0.0320307412124416,0.694876725283834,1.76365463132213
"5947","UROD","CHM13_G0001434","CHM13_T0005866","transcript","5947",3.69117270406884,0.046904203472278,0.736196040013307,1.88407924055688
"6053","AKR1A1","CHM13_G0001448","CHM13_T0005972","transcript","6053",0.419921331576776,0.0391118927804093,0.694876725283834,-1.25180901741139
"6121","TMEM69","CHM13_G0001458","CHM13_T0006040","transcript","6121",3.39436867479631,0.0180255716495421,0.666017849746923,1.76314326977577
"6200","LRRC41","CHM13_G0001474","CHM13_T0006118","transcript","6200",2.44086044537009,0.000183772374932056,0.147608943382655,1.28738981231366
"6209","NSUN4","CHM13_G0001476","CHM13_T0006127","transcript","6209",2.14479535041436,0.0416661329240726,0.711770539077132,1.10083999689608
"6328","CYP4B1","CHM13_G0001493","CHM13_T0006246","transcript","6328",0.338376335815272,0.0058600670015645,0.474981771328796,-1.56329941707877
"6668","ORC1","CHM13_G0001616","CHM13_T0006584","transcript","6668",2.82422377030206,0.024164945885953,0.694876725283834,1.49785440146863
"6910","LRRC42","CHM13_G0001673","CHM13_T0006826","transcript","6910",0.356707587177328,0.0337003935872341,0.694876725283834,-1.48718619260466
"6964","SSBP3","CHM13_G0001687","CHM13_T0006880","transcript","6964",0.2779246926061,0.0204516639006229,0.685396346695551,-1.84723407640577
"7208","TACSTD2","CHM13_G0001755","CHM13_T0007124","transcript","7208",0.328804613203966,0.0306936276359424,0.694876725283834,-1.6046975543842
"7289","FGGY","CHM13_G0001770","CHM13_T0007205","transcript","7289",0.456161141570088,0.0263140041333829,0.694876725283834,-1.13238454006514
"7967","SRSF11","CHM13_G0001938","CHM13_T0007881","transcript","7967",0.158064540147737,0.00335906307616085,0.399449874102907,-2.66141434193422
"8414","IFI44","CHM13_G0002054","CHM13_T0008327","transcript","8414",0.474470023317864,0.0333233556362029,0.694876725283834,-1.07561115321905
"8687","CCN1","CHM13_G0002136","CHM13_T0008600","transcript","8687",0.125442488981837,0.0313385306356794,0.694876725283834,-2.99490200463499
"8707","ODF2L","CHM13_G0002144","CHM13_T0008620","transcript","8707",3.06564063850887,0.0160523140158696,0.644576387943975,1.61618859085616
"8826","KYAT3","CHM13_G0002182","CHM13_T0008740","transcript","8826",2.67196830020798,0.0211332894816013,0.69182295671844,1.41790289201704
"8848","GBP1","CHM13_G0002186","CHM13_T0008762","transcript","8848",0.220640422460263,0.0425023889766688,0.714976628124471,-2.18023097059169
"9078","RPL5","CHM13_G0002262","CHM13_T0008992","transcript","9078",3.21116675177702,0.0148372850123998,0.634905235061109,1.68309758431481
"9090","RPL5","CHM13_G0002262","CHM13_T0009004","transcript","9090",2.91855814492678,0.0341659431328007,0.694876725283834,1.54525581057476
"9483","AGL","CHM13_G0002376","CHM13_T0009397","transcript","9483",2.51526266086036,0.0449279538583273,0.728424302973333,1.33070906394105
"9554","RTCA","CHM13_G0002394","CHM13_T0009467","transcript","9554",3.3522177821255,0.00207885675870356,0.324638834226678,1.74511587904508
"9997","C1orf194","CHM13_G0002504","CHM13_T0009892","transcript","9997",0.437098489315441,0.00367020097928739,0.404741607993637,-1.19396970294746
"10112","AMPD2","CHM13_G0002523","CHM13_T0010007","transcript","10112",2.14892168490461,0.0174859478384315,0.658779551001212,1.10361290628429
"10219","KCNC4","CHM13_G0002548","CHM13_T0010113","transcript","10219",0.464773400456302,0.0265441531976672,0.694876725283834,-1.10540059096396
"10343","CD53","CHM13_G0002570","CHM13_T0010236","transcript","10343",2.85111637413631,0.0419832116904442,0.713332973190502,1.51152692702152
"10374","CEPT1","CHM13_G0002578","CHM13_T0010267","transcript","10374",2.78492904399345,0.00902197277980743,0.532034035200849,1.47764057022856
"10558","MOV10","CHM13_G0002626","CHM13_T0010451","transcript","10558",3.12446618382126,0.0251437877523047,0.694876725283834,1.64360972585828
"10650","PHTF1","CHM13_G0002649","CHM13_T0010542","transcript","10650",2.35354190659473,0.0305140918223478,0.694876725283834,1.23483354153286
"10651","PHTF1","CHM13_G0002649","CHM13_T0010544","transcript","10651",2.7107081201605,0.0310390726544466,0.694876725283834,1.43866977703873
"10706","DCLRE1B","CHM13_G0002657","CHM13_T0010599","transcript","10706",2.5722147399994,0.00033164702701205,0.156966824639592,1.36301109033302
"10716","HIPK1","CHM13_G0002659","CHM13_T0010609","transcript","10716",0.492049398136936,0.0326144598576495,0.694876725283834,-1.02312493609164
"10752","TRIM33","CHM13_G0002667","CHM13_T0010643","transcript","10752",3.188157765373,0.0191014114566037,0.672458284635278,1.67272302258108
"10784","CSDE1","CHM13_G0002677","CHM13_T0010677","transcript","10784",3.23338314714316,0.0367249115015051,0.694876725283834,1.69304447304752
"10906","CD58","CHM13_G0002716","CHM13_T0010799","transcript","10906",2.00282233436607,0.0367494736211021,0.694876725283834,1.00203444876054
"11408","LINC01145","CHM13_G0002896","CHM13_T0011208","transcript","11408",0.412891809736145,0.0498479834089884,0.743046244134688,-1.27616429388415
"11490","ITGA10","CHM13_G0002923","CHM13_T0011285","transcript","11490",0.42981462767113,0.0379727094331221,0.694876725283834,-1.21821351275104
"11769","NBPF11","CHM13_G0002990","CHM13_T0011554","transcript","11769",0.251690859673322,0.0326144598576497,0.694876725283834,-1.99027526989983
"11830","CHD1L","CHM13_G0003016","CHM13_T0011613","transcript","11830",2.50679729212203,0.0234135038969718,0.694876725283834,1.32584533982002
"11882","PRKAB2","CHM13_G0003022","CHM13_T0011665","transcript","11882",2.18022245246264,0.0129867385940495,0.612655922156212,1.12447534357629
"12089","PRPF3","CHM13_G0003088","CHM13_T0011861","transcript","12089",0.438974649687672,0.0329504925977834,0.694876725283834,-1.18779046680299
"12170","CTSS","CHM13_G0003107","CHM13_T0011942","transcript","12170",2.25206562780083,0.0469595187594783,0.736203147988055,1.17124886983521
"12185","ARNT","CHM13_G0003111","CHM13_T0011957","transcript","12185",0.38648818961131,0.0173173980158821,0.657569162993303,-1.37150376624702
"12264","CDC42SE1","CHM13_G0003126","CHM13_T0012036","transcript","12264",0.357032299103599,0.0186650552771801,0.666017849746923,-1.48587350060839
"12289","SCNM1","CHM13_G0003133","CHM13_T0012061","transcript","12289",2.25972277703393,0.0421850936605472,0.713332973190502,1.1761457935563
"12420","POGZ","CHM13_G0003149","CHM13_T0012192","transcript","12420",2.38224122098553,0.022538665811583,0.694876725283834,1.25231950501549
"12446","TUFT1","CHM13_G0003153","CHM13_T0012218","transcript","12446",2.10358151466869,0.0148556495738077,0.634905235061109,1.07284772422969
"12821","SLC39A1","CHM13_G0003296","CHM13_T0012594","transcript","12821",2.87994207951617,0.012799387149665,0.609387795935619,1.52603979693319
"12904","C1orf43","CHM13_G0003316","CHM13_T0012674","transcript","12904",2.53324814684553,0.0199955873440183,0.680720489989963,1.34098840460223
"12914","UBAP2L","CHM13_G0003317","CHM13_T0012685","transcript","12914",2.77467867053191,0.0366618242955568,0.694876725283834,1.47232070577907
"13027","PBXIP1","CHM13_G0003345","CHM13_T0012799","transcript","13027",2.28096348964774,0.0446412975134149,0.728424302973333,1.18964335426701
"13037","SHC1","CHM13_G0003349","CHM13_T0012809","transcript","13037",0.292908813513469,0.034508763610013,0.694876725283834,-1.77147649087843
"13141","SLC50A1","CHM13_G0003364","CHM13_T0012913","transcript","13141",2.00162022029357,0.0477260565250008,0.738366125102804,1.00116826874202
"13183","MUC1","CHM13_G0003370","CHM13_T0012955","transcript","13183",0.3600537262511,0.00285953498470803,0.37080552904719,-1.47371589718581
"13198","MUC1","CHM13_G0003370","CHM13_T0012961","transcript","13198",0.36943080764578,0.0391118927804092,0.694876725283834,-1.43662391404478
"13199","MUC1","CHM13_G0003370","CHM13_T0012971","transcript","13199",0.267350095931798,0.00984064474712087,0.544308918457285,-1.90319790047623
"13200","MUC1","CHM13_G0003370","CHM13_T0012972","transcript","13200",0.136797102615106,0.0165146000877787,0.646675652906115,-2.86989042085569
"13345","MSTO1","CHM13_G0003398","CHM13_T0013116","transcript","13345",0.454163597301881,0.0174740584703457,0.658779551001212,-1.13871602093578
"13525","RAB25","CHM13_G0003423","CHM13_T0013295","transcript","13525",0.472789791921567,0.00305354724383111,0.388161510478137,-1.08072920849019
"13641","GLMP","CHM13_G0003435","CHM13_T0013410","transcript","13641",7.14474072295321,0.00199807961641385,0.318274348775058,2.83688165799756
"13646","GLMP","CHM13_G0003435","CHM13_T0013416","transcript","13646",4.37718721366552,0.0264884567011968,0.694876725283834,2.13000408981447
"13718","IQGAP3","CHM13_G0003446","CHM13_T0013488","transcript","13718",3.74296678696102,0.0478802067602645,0.738366125102804,1.90418224660837
"13733","GPATCH4","CHM13_G0003449","CHM13_T0013503","transcript","13733",0.330355296693307,0.000265060766753367,0.147608943382655,-1.59790961879059
"13768","CRABP2","CHM13_G0003459","CHM13_T0013538","transcript","13768",0.246782661937321,0.0105735462832028,0.562578065645462,-2.01868705540694
"14220","DCAF8","CHM13_G0003596","CHM13_T0013989","transcript","14220",2.86134720545131,0.0478517038983532,0.738366125102804,1.51669456973044
"14244","PEX19","CHM13_G0003600","CHM13_T0014014","transcript","14244",3.14493475386923,0.0416919294870057,0.711770539077132,1.65303008666077
"14301","CD84","CHM13_G0003610","CHM13_T0014071","transcript","14301",2.82647855619355,0.0162518082983725,0.644878180755204,1.49900575165791
"14415","NIT1","CHM13_G0003637","CHM13_T0014184","transcript","14415",3.43237193344954,0.00666903759850801,0.489470678145272,1.77920589242655
"14424","NIT1","CHM13_G0003637","CHM13_T0014194","transcript","14424",0.436912015402278,0.0154468469188715,0.636579654049553,-1.19458531338328
"14512","NDUFS2","CHM13_G0003646","CHM13_T0014282","transcript","14512",2.23197843485356,0.00268358582312644,0.35903375595533,1.1583230880631
"14591","CFAP126","CHM13_G0003655","CHM13_T0014361","transcript","14591",0.412775856702298,0.0391118927804093,0.694876725283834,-1.2765695050237
"14600","FCGR2A","CHM13_G0003663","CHM13_T0014369","transcript","14600",6.27597585790437,0.00118666787328681,0.260078725940861,2.64983980263287
"14647","FCGR3B","LOFF_G0000174","LOFF_T0000251","transcript","14647",2.80327614381307,0.0136908319518214,0.618724901080125,1.48711386769783
"14669","FCGR3B","CHM13_G0003672","CHM13_T0014411","transcript","14669",0.301574817805419,0.00942264914259772,0.53933961857494,-1.72941212962305
"14982","TADA1","CHM13_G0003773","CHM13_T0014722","transcript","14982",2.19118674412523,0.0169111918176978,0.652306883192366,1.13171244340737
"15044","CREG1","CHM13_G0003791","CHM13_T0014785","transcript","15044",2.4879925848522,0.00574025960018487,0.474981771328796,1.31498218570449
"15187","F5","CHM13_G0003840","CHM13_T0014927","transcript","15187",6.21249628675964,0.0347460242031972,0.694876725283834,2.63517308436908
"15308","FMO2","CHM13_G0003875","CHM13_T0015046","transcript","15308",0.366651670487666,0.00167981372685178,0.300924361201234,-1.44751798248624
"15392","DNM3","CHM13_G0003898","CHM13_T0015132","transcript","15392",2.87166957605286,0.0377801460495278,0.694876725283834,1.52188975737326
"15474","DARS2","CHM13_G0003934","CHM13_T0015214","transcript","15474",3.77119010093072,0.000873763048844456,0.217923991301895,1.91501987674778
"15612","COP1","CHM13_G0003971","CHM13_T0015352","transcript","15612",3.46424953408879,0.0125319320782969,0.60559271026302,1.79254285287828
"15738","ABL2","CHM13_G0004014","CHM13_T0015478","transcript","15738",2.94797070781957,0.0051017676606131,0.462586790665548,1.55972218932668
"15861","XPR1","CHM13_G0004054","CHM13_T0015601","transcript","15861",2.44626674988842,0.0347352430877079,0.694876725283834,1.29058172919576
"15891","IER5","CHM13_G0004064","CHM13_T0015631","transcript","15891",3.17208399672826,0.000656913868159581,0.19101542501202,1.66543097408693
"15934","GLUL","CHM13_G0004084","CHM13_T0015673","transcript","15934",4.42298930151154,0.00589010528289924,0.474981771328796,2.1450217525972
"16390","GLRX2","CHM13_G0004234","CHM13_T0016130","transcript","16390",3.28581202806195,0.00123236184536257,0.262818986938688,1.71624995017856
"16539","PTPRC","CHM13_G0004283","CHM13_T0016287","transcript","16539",4.56318027905616,0.0337081911772783,0.694876725283834,2.19003965193446
"16541","PTPRC","CHM13_G0004283","CHM13_T0016289","transcript","16541",0.312852911007365,0.0237034535937533,0.694876725283834,-1.67644356692059
"17401","CTSE","CHM13_G0004502","CHM13_T0017149","transcript","17401",0.380846569309798,0.000640809811858656,0.19101542501202,-1.39271819501125
"17441","SRGAP2","CHM13_G0004512","CHM13_T0017188","transcript","17441",0.457577458956074,0.00669690302902326,0.489556891399278,-1.12791211063222
"17474","EIF2D","CHM13_G0004521","CHM13_T0017221","transcript","17474",3.61408350102651,0.0340814709602577,0.694876725283834,1.85362983910932
"17487","DYRK3","CHM13_G0004523","CHM13_T0017235","transcript","17487",2.78123210014111,0.000799934604788666,0.210635841597669,1.47572414588927
"17535","PIGR","CHM13_G0004534","CHM13_T0017283","transcript","17535",0.479520139144275,0.0391118927804093,0.694876725283834,-1.06033668729059
"17575","CD55","CHM13_G0004547","CHM13_T0017323","transcript","17575",0.251393729315657,0.00387770881220351,0.411280568217511,-1.99197943080131
"17585","CD55","CHM13_G0004547","CHM13_T0017332","transcript","17585",0.413939403098399,0.00321692958907249,0.391526238977203,-1.27250850892138
"17632","CD46","CHM13_G0004557","CHM13_T0017380","transcript","17632",0.376078943997068,0.00285335503723139,0.37080552904719,-1.41089256022248
"17729","LAMB3","CHM13_G0004587","CHM13_T0017477","transcript","17729",0.284961685969129,0.000374937508191064,0.166814868946042,-1.81116013763858
"17830","RCOR3","CHM13_G0004617","CHM13_T0017578","transcript","17830",0.495248638289038,0.00353583774028698,0.400843697819719,-1.0137750865295
"17965","PACC1","CHM13_G0004652","CHM13_T0017713","transcript","17965",2.25176505003738,0.0118510724089659,0.590183041943168,1.17105630395945
"18501","DISP1","CHM13_G0004803","CHM13_T0018243","transcript","18501",0.363711559085815,0.018172412313348,0.666017849746923,-1.45913331819808
"18552","TP53BP2","CHM13_G0004816","CHM13_T0018294","transcript","18552",4.18822186586676,0.000340164488478401,0.156966824639592,2.06633786927625
"18702","LBR","CHM13_G0004849","CHM13_T0018440","transcript","18702",2.24480742994505,0.011809600610257,0.590183041943168,1.16659168916273
"18760","TMEM63A","CHM13_G0004860","CHM13_T0018498","transcript","18760",0.341407334225913,0.0326144598576497,0.694876725283834,-1.55043404373407
"18867","CDC42BPA","CHM13_G0004895","CHM13_T0018606","transcript","18867",2.02267405653542,0.00905698783885756,0.532034035200849,1.0162638557805
"18869","CDC42BPA","CHM13_G0004895","CHM13_T0018607","transcript","18869",3.20608300692342,0.0108965579095187,0.566906606562763,1.68081177799606
"19014","GUK1","CHM13_G0004935","CHM13_T0018746","transcript","19014",2.24653801288269,0.0336553399657993,0.694876725283834,1.16770347340525
"19289","TAF5L","CHM13_G0005000","CHM13_T0018919","transcript","19289",2.35858806478421,0.0149758776267886,0.634905235061109,1.23792346911238
"19322","COG2","CHM13_G0005013","CHM13_T0018952","transcript","19322",2.84209865939756,0.0417632745546352,0.711770539077132,1.5069566365487
"19588","IRF2BP2","CHM13_G0005094","CHM13_T0019218","transcript","19588",2.24039717964266,0.0481266805001725,0.738366125102804,1.16375451724093
"19800","GPR137B","CHM13_G0005148","CHM13_T0019430","transcript","19800",2.80254936436391,0.0390544262387189,0.694876725283834,1.4867397850185
"20147","SDCCAG8","CHM13_G0005262","CHM13_T0019773","transcript","20147",3.94631995898143,0.00439953215205846,0.43373805090904,1.98050793135858
"20247","HNRNPU","CHM13_G0005290","CHM13_T0019873","transcript","20247",0.439317879738887,0.0184311048628862,0.666017849746923,-1.18666287821174
"20375","ZNF124","CHM13_G0005339","CHM13_T0020001","transcript","20375",2.85950858831096,0.00383722574311607,0.409803080561477,1.51576723856971
"20689","IDI1","CHM13_G0005461","CHM13_T0020308","transcript","20689",3.76083441016823,0.00580740756290599,0.474981771328796,1.91105278580169
"21086","IL2RA","CHM13_G0005558","CHM13_T0020705","transcript","21086",0.397584431810473,0.0326144598576495,0.694876725283834,-1.33066682840355
"21233","ATP5F1C","CHM13_G0005593","CHM13_T0020851","transcript","21233",2.95867436790075,0.0245224100047883,0.694876725283834,1.56495092205862
"21457","CDC123","CHM13_G0005647","CHM13_T0021075","transcript","21457",2.37233600211124,0.0436041856638845,0.72221181710946,1.24630835821852
"21506","PHYH","CHM13_G0005669","CHM13_T0021124","transcript","21506",3.59588104259136,0.00571740872664006,0.474981771328796,1.84634529501749
"21665","HSPA14","CHM13_G0005698","CHM13_T0021283","transcript","21665",2.20981566520317,0.00320485927989855,0.391526238977203,1.14392603025527
"21667","HSPA14","CHM13_G0005699","CHM13_T0021285","transcript","21667",5.08179726650646,0.0117184705921066,0.588317380601773,2.34533882158571
"21811","VIM","CHM13_G0005736","CHM13_T0021429","transcript","21811",0.471737409872424,0.0341282133915958,0.694876725283834,-1.08394408041511
"21814","VIM","CHM13_G0005736","CHM13_T0021432","transcript","21814",0.427241045032082,0.0179908121464905,0.666017849746923,-1.2268778415423
"21834","STAM","CHM13_G0005745","CHM13_T0021452","transcript","21834",2.0311647906902,0.0223148323546205,0.694876725283834,1.02230729185815
"22098","MSRB2","CHM13_G0005831","CHM13_T0021716","transcript","22098",2.15417300386557,0.0157271254365169,0.641135026681387,1.10713411886827
"22308","ACBD5","CHM13_G0005892","CHM13_T0021925","transcript","22308",6.47133828371462,0.000884707260183415,0.217923991301895,2.69406409484915
"22499","MTPAP","CHM13_G0005951","CHM13_T0022116","transcript","22499",2.44927328822529,0.00530768052798503,0.464914333401838,1.29235375780155
"22566","ZEB1","CHM13_G0005977","CHM13_T0022183","transcript","22566",3.17380976387536,0.0444018883254356,0.728424302973333,1.66621565654779
"22596","ARHGAP12","CHM13_G0005985","CHM13_T0022213","transcript","22596",3.04811490279631,0.000252194016632568,0.147608943382655,1.60791728818882
"22618","EPC1","CHM13_G0005998","CHM13_T0022235","transcript","22618",3.61772814718858,0.00452148900436122,0.435903849444195,1.85508400125976
"22690","NRP1","CHM13_G0006015","CHM13_T0022307","transcript","22690",2.42108950093951,0.00457764093416013,0.437503793725934,1.27565641274243
"23260","WASHC2C","CHM13_G0006226","CHM13_T0022855","transcript","23260",6.17404097479175,0.00718909315967842,0.501390672933788,2.6262150576101
"23270","AGAP4","CHM13_G0006229","CHM13_T0022864","transcript","23270",4.16696502441697,0.0242802637824224,0.694876725283834,2.05899699077434
"23305","AGAP14P","CHM13_G0006241","CHM13_T0022898","transcript","23305",0.331133195581718,0.0326144598576495,0.694876725283834,-1.59451644899528
"23493","ARHGAP22","CHM13_G0006300","CHM13_T0023070","transcript","23493",2.03260504138977,0.0269853983910395,0.694876725283834,1.02332991012383
"23619","MSTRG.677","CHM13_G0006340","CHM13_T0023192","transcript","23619",2.26764194853975,0.0149531936836378,0.634905235061109,1.18119286257061
"23620","MSTRG.677","CHM13_G0006340","CHM13_T0023193","transcript","23620",2.96120918841182,0.0154316797650604,0.636579654049553,1.5661864102805
"23804","UBE2D1","CHM13_G0006407","CHM13_T0023375","transcript","23804",2.38164581376834,0.00517318971920144,0.462586790665548,1.25195887889747
"23808","TFAM","CHM13_G0006408","CHM13_T0023379","transcript","23808",2.38383778173078,0.00827543138569564,0.53047318902608,1.25328606488766
"24225","DDX50","CHM13_G0006529","CHM13_T0023796","transcript","24225",2.46738940502519,0.0307628903658206,0.694876725283834,1.3029854206908
"24246","KIFBP","CHM13_G0006532","CHM13_T0023803","transcript","24246",6.75229998439724,9.45489712822489e-06,0.121991810196922,2.75537900007419
"24466","CDH23","CHM13_G0006590","CHM13_T0024034","transcript","24466",0.425060060258153,0.0391118927804093,0.694876725283834,-1.23426138889667
"24638","ANXA7","CHM13_G0006648","CHM13_T0024207","transcript","24638",4.16815145678861,0.00703461937919214,0.501235308416122,2.05940770131793
"24648","PPP3CB","CHM13_G0006652","CHM13_T0024217","transcript","24648",2.14651644560023,0.0114500563930251,0.580488615367412,1.10199722607948
"24785","PLAU","CHM13_G0006684","CHM13_T0024353","transcript","24785",2.71434575660121,0.0348773001269189,0.694876725283834,1.44060450467804
"24829","KAT6B","CHM13_G0006700","CHM13_T0024397","transcript","24829",0.443609363233099,0.0326144598576495,0.694876725283834,-1.17263827819883
"25191","PPIF","CHM13_G0006768","CHM13_T0024757","transcript","25191",3.56706260154281,0.000655694717472288,0.19101542501202,1.83473653516073
"25206","SFTPA2","CHM13_G0006777","CHM13_T0024774","transcript","25206",0.0420256419683115,0.00162604587688875,0.300924361201234,-4.57258633206401
"25213","SFTPA1","CHM13_G0006780","CHM13_T0024782","transcript","25213",0.0222999212192176,0.000258110607631146,0.147608943382655,-5.48681757634864
"25214","SFTPA1","CHM13_G0006780","CHM13_T0024781","transcript","25214",0.10656626864889,0.00282071125068317,0.369484537177052,-3.23017723984803
"25262","SFTPD","CHM13_G0006797","CHM13_T0024830","transcript","25262",0.0926977124875643,0.000247196517957793,0.147608943382655,-3.43132245204114
"25888","EXOC6","CHM13_G0007035","CHM13_T0025454","transcript","25888",0.380959133121998,0.00899486728385379,0.532034035200849,-1.39229185203611
"25984","PLCE1","CHM13_G0007058","CHM13_T0025550","transcript","25984",0.497410917216991,0.0391118927804093,0.694876725283834,-1.00748992259195
"26255","HMGN2P35","CHM13_G0007120","CHM13_T0025821","transcript","26255",0.460819396116975,0.0455986497724818,0.728590190327489,-1.11772665307922
"26441","GOT1","CHM13_G0007168","CHM13_T0026007","transcript","26441",2.14813912951014,0.021719707365468,0.694876725283834,1.10308743603937
"26505","ERLIN1","CHM13_G0007189","CHM13_T0026070","transcript","26505",3.04986482333858,0.0201742004067789,0.682862368254748,1.60874530070148
"26833","MSTRG.797","CHM13_G0007260","CHM13_T0026397","transcript","26833",2.33914028063487,0.0355794958014746,0.694876725283834,1.22597838418183
"26835","MSTRG.797","CHM13_G0007260","CHM13_T0026399","transcript","26835",3.30503585396772,0.00527080560124438,0.464208663959424,1.72466592258345
"27057","STN1","CHM13_G0007319","CHM13_T0026621","transcript","27057",0.391654067748702,0.0326144598576494,0.694876725283834,-1.35234815249808
"27091","GSTO1","CHM13_G0007327","CHM13_T0026655","transcript","27091",3.25794018916375,0.00290013250210464,0.374189596084051,1.70396011841564
"27220","ADD3","CHM13_G0007368","CHM13_T0026784","transcript","27220",0.444385895325446,0.0326144598576495,0.694876725283834,-1.17011506814002
"27414","TCF7L2","CHM13_G0007415","CHM13_T0026978","transcript","27414",0.470567848049987,0.0210459145654727,0.690797022290208,-1.08752534432827
"27535","FAM160B1","CHM13_G0007450","CHM13_T0027099","transcript","27535",2.1015709160802,0.0337339208953591,0.694876725283834,1.07146814007352
